,index,user_id,post_time,tweet,hour
30,30,Malcolm Turnbull 💉💉,2021-10-18 20:46:14+00:00,@RNBreakfast And Keith never missed an opportunity to frustrate action on climate in my time. He wants more coal mining and more coal fired power stations both of which are utterly incompatible with reaching net zero.,20
31,31,Malcolm Turnbull 💉💉,2021-10-18 11:05:10+00:00,RT @davidwaskow: India set to update its 2030 NDC targets  https://t.co/PS9YB8uCXV,11
32,32,Malcolm Turnbull 💉💉,2021-10-18 09:43:32+00:00,RT @ian_hickie: 1/2 Great start to the  #MentalWealthInitiative today at @Sydney_Uni - led by @BrainMind_Usyd and @sydney_business @mscott…,9
33,33,Malcolm Turnbull 💉💉,2021-10-18 01:58:14+00:00,"RT @FortescueFuture: Our founder Dr Andrew Forrest AO, and CEO @JulieShuttlewth, recently welcomed @paulstarick  from @theTiser to explore…",1
34,34,Malcolm Turnbull 💉💉,2021-10-18 01:09:10+00:00,"RT @gabriellechan: ""We have to face the uncomfortable fact that the systematic partisan lying and misinformation from the media, both mains…",1
35,35,Malcolm Turnbull 💉💉,2021-10-18 01:06:46+00:00,@geeksrgood @margokingston1 I won’t argue with you about the state of the coalition on this issue but the 2015 targets were as set out at Paris. The intent of the agreement was and remains that these commitments would be increased every 5 years - hence the need for a step up now.,1
36,36,Malcolm Turnbull 💉💉,2021-10-17 23:13:21+00:00,"RT @HardieGrant: .@TurnbullMalcolm writes on Murdoch, lies and the climate crisis on @GuardianAus in an extract from the new forward of his…",23
37,37,Malcolm Turnbull 💉💉,2021-10-17 20:44:02+00:00,"Malcolm Turnbull on Murdoch, lies and the climate crisis: ‘The same forces that enabled Trump are at work in Australia’ https://t.co/XhYMz6o1Ah",20
38,38,Malcolm Turnbull 💉💉,2021-10-17 20:29:12+00:00,"“I wish our Australian partner, who made the choice for reasons of security – justified by the escalation of tensions with China – to the detriment of sovereignty, does not discover later that it has sacrificed both.” ⁦@JY_LeDrian⁩ #aukus #sousmarins https://t.co/YiaSecvCef",20
39,39,Malcolm Turnbull 💉💉,2021-10-17 18:55:31+00:00,"“One, he’s passionately committed to the energy transformation. Two, he’s got enormous financial resources. More than a few people can tick those boxes. But third he is the founder and chairman of a company that has engineering &amp; construction in its DNA.” https://t.co/8odo0vqT4x",18
40,40,Malcolm Turnbull 💉💉,2021-10-17 18:37:41+00:00,RT @damiencave: The iron and steel industry emits more carbon than all the world’s cars. Andrew Forrest wants to fix that and thinks he can…,18
41,41,Malcolm Turnbull 💉💉,2021-10-16 11:07:59+00:00,"RT @BellaKwai: For todays' @nytimes Sat profile, I followed Australian activist Chanel Contos who started 2021 as a student in London. A vi…",11
42,42,Malcolm Turnbull 💉💉,2021-10-16 05:39:45+00:00,RT @emfarrelly: Why would anyone think the last healthy and growing koala colony in the state was a good spot for thousands of new roof-to-…,5
43,43,Malcolm Turnbull 💉💉,2021-10-16 03:31:21+00:00,Kevin makes a powerful point. Net zero by 2050 is good. But it’s the bare minimum. The critical issue is to increase the 2030 cut. You cannot start getting to net zero in 2049. We need substantial near term increased emission reduction targets. https://t.co/rVUWwruBIU,3
44,44,Malcolm Turnbull 💉💉,2021-10-16 02:32:10+00:00,A reminder of how recklessly misconceived was the decision to dump the Attack class programme. Australia’s security sacrificed for a press conference. https://t.co/1oraGjo3kq,2
45,45,Malcolm Turnbull 💉💉,2021-10-16 01:42:59+00:00,"RT @HGACinema: Happy 96th Birthday to Dame Angela Lansbury.

Born: 16th October, 1925 in Regent's Park, London, England, UK.

Photo | Dame…",1
46,46,Malcolm Turnbull 💉💉,2021-10-16 01:42:56+00:00,@HGACinema @latimes @_AngelaLansbury Happy Birthday! Lots of love from your Sydney family.,1
47,47,Malcolm Turnbull 💉💉,2021-10-15 11:54:20+00:00,RT @mjrowland68: This is quite the column by @latingle…,11
48,48,Malcolm Turnbull 💉💉,2021-10-15 10:36:49+00:00,"RT @energynetworks: Join former Australian Prime Minister @turnbullmalcolm, international climate expert @FarhanaClimate and more in #Glasg…",10
49,49,Malcolm Turnbull 💉💉,2021-10-15 08:32:01+00:00,"RT @WarOnTheRocks: ""The hyperbole around the new Australia-UK-US (AUKUS) partnership has been dialed up to 11."" https://t.co/HUQOvyL5y9",8
50,50,Malcolm Turnbull 💉💉,2021-10-15 05:23:29+00:00,Australia’s ageing submarine fleet could still be operating in 2050s while waiting for nuclear boats https://t.co/DZPNMWIGwL,5
51,51,Malcolm Turnbull 💉💉,2021-10-14 05:02:42+00:00,Andrew Forrest urges Scott Morrison to commit to net zero even if it means splitting Coalition https://t.co/ehIskk3GWm,5
52,52,Malcolm Turnbull 💉💉,2021-10-14 02:47:14+00:00,RT @FortescueFuture: This morning our founder Dr Andrew Forrest AO spoke with @kochie_online from @sunriseon7 about how Australia will beco…,2
53,53,Malcolm Turnbull 💉💉,2021-10-14 00:05:39+00:00,Very well deserved accolade for Tony Smith by Niki Savva “Speaker who restored respect to the House will leave a gaping hole” https://t.co/7HQOtszO3F,0
54,54,Malcolm Turnbull 💉💉,2021-10-13 23:54:51+00:00,"RT @SmartEnergyCncl: Renewable #hydrogen is key to net zero, creating new jobs &amp; export opportunities.

Hear from policy makers, industry,…",23
55,55,Malcolm Turnbull 💉💉,2021-10-13 21:23:44+00:00,RT @PaulBongiorno: Listening to Twiggy Forrest on @rnbreakfast debunk the lie of clean hydrogen and spruik the benefits of green hydrogen i…,21
56,56,Malcolm Turnbull 💉💉,2021-10-13 21:06:58+00:00,@DAlperovitch @alperovitch @SAISHopkins @RidT Congratulations! Great initiative!,21
57,57,Malcolm Turnbull 💉💉,2021-10-13 21:06:37+00:00,RT @DAlperovitch: Thrilled to announce the official launch of the @Alperovitch Institute for Cybersecurity Studies @SAISHopkins led by the…,21
58,58,Malcolm Turnbull 💉💉,2021-10-13 20:48:27+00:00,"RT @FortescueFuture: As #COP26 approaches, misinformation needs to stop. #FossilFuel companies may have changed their colours, but not thei…",20
59,59,Malcolm Turnbull 💉💉,2021-10-13 20:48:16+00:00,RT @FortescueFuture: What role will #GreenHydrogen play in Australia's #NetZero future? Our founder Dr Andrew Forrest AO caught up with @Ki…,20
60,60,Malcolm Turnbull 💉💉,2021-10-13 20:47:43+00:00,"RT @fbirol: #WEO2021 is out!

Before a crucial #COP26, it shows that while climate ambitions have never been higher, energy transitions hav…",20
61,61,Malcolm Turnbull 💉💉,2021-10-13 20:42:14+00:00,"RT @RNBreakfast: Fortescue Metals Chairman Andrew Forrest has announced investments in green hydrogen.

""It's a market we'll compete with,…",20
62,62,Malcolm Turnbull 💉💉,2021-10-13 20:41:56+00:00,"RT @climatecouncil: “My passion is to make green, manufacturing jobs right here [in Australia].” - Andrew ""Twiggy"" Forrest on his plans for…",20
63,63,Malcolm Turnbull 💉💉,2021-10-12 22:43:30+00:00,"RT @SmartEnergyCncl: The world's watching. Our climate policy matters.

The Opening Session of #RacetoZeroSummit 20 Oct matters:
☀️@Turnbul…",22
64,64,Malcolm Turnbull 💉💉,2021-10-12 21:08:20+00:00,@cameronwilson @HonJulieBishop Only slightly slimmer! But more pages! https://t.co/I6bCFbry7F,21
65,65,Malcolm Turnbull 💉💉,2021-10-12 21:03:10+00:00,@NickMGreen @GrogsGamut @abcnews 2015 testimony could have only referred to a notional build of subs in Japan. The French bid was not accepted until April 2016.,21
66,66,Malcolm Turnbull 💉💉,2021-10-12 20:47:08+00:00,"The second, paperback, edition of my memoir #abiggerpicture is on sale today - with a new foreword. Thanks Julie for the cover quote! @honjuliebishop @hardiegrantbooks https://t.co/QwpizSUqeL… https://t.co/jW3rdVbimY",20
67,67,Malcolm Turnbull 💉💉,2021-10-12 20:45:58+00:00,"The second, paperback, edition of my memoir #abiggerpicture is on sale today - with a new foreword. Thanks Julie for the cover quote! @honjuliebishop @hardiegrantbooks https://t.co/xRlAdTzOuw",20
68,68,Malcolm Turnbull 💉💉,2021-10-12 20:07:40+00:00,Listening to @abcnews just now - says the French/Australian submarine project cost had “risen to $90 billion” This lie has been debunked so often but apparently it’s easier to just repeat the falsehood. https://t.co/2vAn5TPeFX https://t.co/ukY3r6Epyn,20
69,69,Malcolm Turnbull 💉💉,2021-10-12 03:08:32+00:00,RT @alexbhturnbull: Chinese politics and your heating bill https://t.co/70ff6wdqUj,3
70,70,Malcolm Turnbull 💉💉,2021-10-12 00:43:30+00:00,China singling out Australian coal is a sign of their influence on global energy markets by ⁦@alexbhturnbull⁩  https://t.co/o1sM3RR3ar,0
71,71,Malcolm Turnbull 💉💉,2021-10-12 00:38:13+00:00,@ChristineMilne @SmartEnergyCncl Absolutely! Proud to be involved in all of them!,0
72,72,Malcolm Turnbull 💉💉,2021-10-11 08:45:24+00:00,"RT @franceinfo: Le nouvel album d'Astérix, ""Astérix et le Griffon"", sortira le 21 octobre

https://t.co/7vPJa0E6bU https://t.co/wxKmsMlHDQ",8
73,73,Malcolm Turnbull 💉💉,2021-10-10 22:26:23+00:00,"RT @DAlperovitch: Theory: The redacted country is France, which appears to have collaborated with the FBI on this investigation.

This woul…",22
74,74,Malcolm Turnbull 💉💉,2021-10-10 21:44:36+00:00,"RT @Matt_KeanMP: With NSW’s 50% emissions reduction target for 2030, our state and the business community are on a unity ticket when it com…",21
75,75,Malcolm Turnbull 💉💉,2021-10-10 05:46:22+00:00,RT @FortescueFuture: Today we partnered with the @QldGov to announce our new #GreenEnergy factory in Gladstone. 📍 The Global Green Energy M…,5
76,76,Malcolm Turnbull 💉💉,2021-10-10 05:42:10+00:00,"RT @AnnastaciaMP: Gladstone is set to become Queensland’s green energy manufacturing centre 🌱 🙌

A Palaszczuk Government partnership with r…",5
77,77,Malcolm Turnbull 💉💉,2021-10-10 05:41:08+00:00,"RT @FortescueFuture: Our goal is to become the world’s leading fully #RenewableEnergy company, powering the Australian economy and creating…",5
78,78,Malcolm Turnbull 💉💉,2021-10-10 05:41:02+00:00,"RT @FortescueFuture: Our manufacturing arm, starting with electrolysers and expanding to all other required green industry products, will h…",5
79,79,Malcolm Turnbull 💉💉,2021-10-10 05:24:38+00:00,Forrest unveils plans for Queensland manufacturing plant to 'double world's green hydrogen … https://t.co/8EKPsN4G8d,5
80,80,Malcolm Turnbull 💉💉,2021-10-10 00:57:18+00:00,RT @CBadcock: @ms_dzt @TurnbullMalcolm @smh @tweetinjules Excellent article- spot on👍,0
81,81,Malcolm Turnbull 💉💉,2021-10-10 00:01:48+00:00,"RT @ms_dzt: Who you are here, and on Facebook, Insta, and tiktok, is who you are. My piece in today’s @smh with special shout out to @tweet…",0
82,82,Malcolm Turnbull 💉💉,2021-10-09 22:08:51+00:00,Build renewable storage capacity to boost reliability: Turnbull https://t.co/2SmE1AvVXE via @InQldMedia,22
83,83,Malcolm Turnbull 💉💉,2021-10-09 06:26:41+00:00,"RT @Jamesologhlin: @TurnbullMalcolm discusses his severe depression after losing the Liberal leadership in 2009, his recovery and how he ma…",6
84,84,Malcolm Turnbull 💉💉,2021-10-09 02:53:54+00:00,"All enabled, amplified by Murdoch’s Fox News. https://t.co/BFe35Ziner",2
85,85,Malcolm Turnbull 💉💉,2021-10-09 02:17:12+00:00,"RT @anneapplebaum: ""these incidents never happen...this a figment of your imagination... it's just grumpy middle aged people complaining ab…",2
86,86,Malcolm Turnbull 💉💉,2021-10-09 00:08:47+00:00,RT @ian_hickie: @Jamesologhlin @TurnbullMalcolm @BrainMind_Usyd @mscott @JuliaGillard @beyondblue @mirandarwolpert Also good to link this e…,0
87,87,Malcolm Turnbull 💉💉,2021-10-08 23:25:11+00:00,Okay I know I am not entirely objective here BUT this is a very interesting and humorous discussion with ⁦@ms_dzt⁩ &amp; ⁦@ian_hickie⁩ &amp; ⁦@Jamesologhlin⁩  https://t.co/1CrO0mJxGW,23
88,88,Malcolm Turnbull 💉💉,2021-10-08 18:29:57+00:00,"RT @eddierich1: ""The ignored crisis within the crisis"" @TurnbullMalcolm explains why we need long duration energy storage like #pumpedstora…",18
89,89,Malcolm Turnbull 💉💉,2021-10-08 09:39:29+00:00,"RT @business: Even a modest $24 incentive increases vaccination rates, according to a Swedish study  https://t.co/XxLG2sSjB6",9
90,90,Malcolm Turnbull 💉💉,2021-10-08 09:07:41+00:00,"RT @andreaskaju: Independent of whethe one comes down hard on #AUKUS or not, this is a great essay by the frm AUS prime minister ⁦@Turnbull…",9
91,91,Malcolm Turnbull 💉💉,2021-10-08 06:16:18+00:00,"RT @ForeignPolicy: Q&amp;A: ""AUKUS, the decision on the submarines, is such a disappointment and, I think, a very big mistake,"" former Australi…",6
92,92,Malcolm Turnbull 💉💉,2021-10-08 02:02:33+00:00,AUKUS and Australia–Indonesia relations: 2 2 clever by half | David Engel |  https://t.co/Lci2AvKytJ via @aspi_org,2
93,93,Malcolm Turnbull 💉💉,2021-10-08 01:49:47+00:00,"How Long Will the Energy Crunch Last?, by @alexbhturnbull https://t.co/VdY0CbtiT1",1
94,94,Malcolm Turnbull 💉💉,2021-10-08 01:15:01+00:00,RT @grantwyeth: My latest piece for @Diplomat_APAC picking up on @TurnbullMalcolm's speech at the @PressClubAust and the theme of trust in…,1
95,95,Malcolm Turnbull 💉💉,2021-10-08 01:04:09+00:00,RT @ToryShepherd: Experts warn Joe Biden supplying nuclear submarines to Australia threatens US security - @TurnbullMalcolm says idea we ca…,1
96,96,Malcolm Turnbull 💉💉,2021-10-07 23:43:51+00:00,RT @MichaelEMann: My conversation today with former Australian Prime Minister Malcolm Turnbull @TurnbullMalcolm) on climate action and the…,23
97,97,Malcolm Turnbull 💉💉,2021-10-07 22:14:21+00:00,RT @ConvSix: “One of my big concerns about the energy transition is that we are not getting on and building enough long duration storage..f…,22
98,98,Malcolm Turnbull 💉💉,2021-10-07 22:09:05+00:00,RT @MichaelEMann: Please check out my @Conv6 six minute  conversation with former Australian Prime Minister @TurnbullMalcolm on expectation…,22
99,99,Malcolm Turnbull 💉💉,2021-10-07 17:52:25+00:00,RT @ValaAfshar: Growers in London are using underground tunnels to produce fresh food in a fraction of the time it takes on a conventional…,17
100,100,Malcolm Turnbull 💉💉,2021-10-07 17:49:09+00:00,"RT @WarOnTheRocks: In 2040, if Australia has the first of a nuclear-powered submarine fleet, that will be a good development. But the proce…",17
101,101,Malcolm Turnbull 💉💉,2021-10-07 09:17:01+00:00,RT @pascalradue: @TurnbullMalcolm‘s article in @FT is still current today. The energy crises are showing how #decarbonization will be sever…,9
102,102,Malcolm Turnbull 💉💉,2021-10-07 08:56:24+00:00,"RT @abc730: “In the 20 days since the announcement, things have not gone well for the AUKUS agreement. First there was the outrage of the F…",8
103,103,Malcolm Turnbull 💉💉,2021-10-07 08:33:46+00:00,"RT @ErikSolheim: I am proud to work with the newly established Green Hydrogen Organization.

This is why Our climate emergency requires hug…",8
104,104,Malcolm Turnbull 💉💉,2021-10-07 05:16:43+00:00,RT @alexbhturnbull: A big part of why #Europe #gas bills are going up: Chinese politics https://t.co/BoIpiPt9PI,5
105,105,Malcolm Turnbull 💉💉,2021-10-07 02:26:56+00:00,RT @LucyTurnbull_AO: @LaLegale @TurnbullMalcolm Was a  fantastic episode @ABCTV #AustralianStory We treasure Charlie Veron’s  reference wor…,2
106,106,Malcolm Turnbull 💉💉,2021-10-07 02:26:34+00:00,"RT @BillHareClimate: @TurnbullMalcolm Yes, and all indications of Washington are that the Biden Administration  was blindsided by Scott Mor…",2
107,107,Malcolm Turnbull 💉💉,2021-10-06 22:23:05+00:00,"“If you double-cross people, there is a price to pay,” said former Australian Prime Minister Malcolm Turnbull about the controversial deal that jilted France. https://t.co/Ez4Unw6DOR",22
108,108,Malcolm Turnbull 💉💉,2021-10-06 20:40:42+00:00,RT @JustinSKatz: .@TurnbullMalcolm to me:“AUS is a non-nuclear weapon state and has a commitment to... upholding the Non-Proliferation Trea…,20
109,109,Malcolm Turnbull 💉💉,2021-10-06 19:13:43+00:00,RT @BreakingDefense: Former Officials Call For AUKUS Submarines To Use Low Enriched Uranium https://t.co/gZX256qlPU,19
110,110,Malcolm Turnbull 💉💉,2021-10-06 19:13:35+00:00,"Growing concern in the US about how supplying Australia with weapons grade uranium naval reactors will encourage other countries, like Iran, to do the same. https://t.co/2vAn5TPeFX https://t.co/QIWmbm1RKy",19
111,111,Malcolm Turnbull 💉💉,2021-10-06 08:58:54+00:00,"RT @infofrance2: 🗣️ ""On aurait pu et dû faire mieux au niveau de la communication"", déclare Anthony Blinken, secrétaire d'État 🇺🇸 au sujet…",8
112,112,Malcolm Turnbull 💉💉,2021-10-06 08:50:47+00:00,@CameronAtfield @MrKRudd Depends whether that is a huge smile of delight or….a yawn,8
113,113,Malcolm Turnbull 💉💉,2021-10-06 06:37:16+00:00,Staggering. Shameful. https://t.co/O4LfYFITXH,6
114,114,Malcolm Turnbull 💉💉,2021-10-06 06:25:53+00:00,RT @greggibbo: @TurnbullMalcolm nailed it in his assessment of how @ScottMorrisonMP treated the French. Not only did he lie to them but als…,6
115,115,Malcolm Turnbull 💉💉,2021-10-06 06:25:42+00:00,"RT @AndrewBGreene: “The Biden administration was first approached by Australia and the U.K. about AUKUS in February and March, at which poi…",6
116,116,Malcolm Turnbull 💉💉,2021-10-05 20:30:16+00:00,"RT @R4RXResilience: “The pandemic, the climate emergency, and the Global Financial Crisis are all crises of resilience, testing our ability…",20
117,117,Malcolm Turnbull 💉💉,2021-10-05 20:00:08+00:00,"The energy crisis in Europe and China underlines the need to build more pumped storage. Long duration storage, like #snowy2.0, makes renewables reliable. @iha_org https://t.co/UrDhi7NPD5",20
118,118,Malcolm Turnbull 💉💉,2021-10-05 19:00:18+00:00,"RT @rosseaston: Join us in Glasgow, London or online for our #COP26 fringe events programme this month and next. We're running three events…",19
119,119,Malcolm Turnbull 💉💉,2021-10-05 12:40:45+00:00,RT @WarOnTheRocks: Former Australian Prime Minister Malcolm Turnbull explains why his country planned to buy French subs and what changed h…,12
120,120,Malcolm Turnbull 💉💉,2021-10-05 12:39:17+00:00,@robkellytweets https://t.co/ulEwUcGZIP,12
121,121,Malcolm Turnbull 💉💉,2021-10-05 12:32:48+00:00,@robkellytweets That is complete rubbish. My government substantially increased funding to public schools.,12
122,122,Malcolm Turnbull 💉💉,2021-10-05 12:29:08+00:00,"RT @franceinfo: Crise des sous-marins : Emmanuel Macron a reçu Anthony Blinken pour ""restaurer la confiance"" avec Washington

https://t.co/…",12
123,123,Malcolm Turnbull 💉💉,2021-10-05 10:01:46+00:00,RT @carlbildt: Here a more complete version of former 🇦🇺 PM @TurnbullMalcolm analysis of the recent U-turn on submarine acquisition and its…,10
124,124,Malcolm Turnbull 💉💉,2021-10-05 02:22:47+00:00,"RT @grantwyeth: A good overview by @TurnbullMalcolm of the mess that has been created by the AUKUS deal, and in particular how the Australi…",2
125,125,Malcolm Turnbull 💉💉,2021-10-04 08:48:24+00:00,"RT @margokingston1: 859. The Carbon Capture and Storage con rolls on under Morrison. 

#IndependentsDay",8
126,126,Malcolm Turnbull 💉💉,2021-10-04 08:25:49+00:00,Andrew Forrest criticises use of carbon capture and storage saying it fails ‘19 out of 20 times’  https://t.co/J4rlm4mkWZ,8
127,127,Malcolm Turnbull 💉💉,2021-10-04 08:10:41+00:00,"RT @khalafroula: Every now and then, a slow-burning shift in the way the world works suddenly starts to gather pace at a rapid rate. That i…",8
